identifier,dimension,criterion,TP,TN,FP,FN
4c84c4a6006bdbb94481f5f6994aad0b,5,BIC,0,9,0,1
4c84c4a6006bdbb94481f5f6994aad0b,5,AIC,0,0,0,10
4c84c4a6006bdbb94481f5f6994aad0b,5,SH,0,9,0,1
93869665d59c81924e22e92f1cd1ace3,5,BIC,0,1,0,9
93869665d59c81924e22e92f1cd1ace3,5,AIC,0,1,0,9
93869665d59c81924e22e92f1cd1ace3,5,SH,0,10,0,0
737aa9a034731e2c2d17687f3e918e85,5,BIC,0,7,0,3
737aa9a034731e2c2d17687f3e918e85,5,AIC,0,6,0,4
737aa9a034731e2c2d17687f3e918e85,5,SH,0,7,0,3
f4cae81075097a07ac6c7f19ad198ec8,5,BIC,0,7,0,3
f4cae81075097a07ac6c7f19ad198ec8,5,AIC,0,7,0,3
f4cae81075097a07ac6c7f19ad198ec8,5,SH,0,7,0,3
3dab4af3ca66af27f8e440cafd903319,5,BIC,0,9,1,0
3dab4af3ca66af27f8e440cafd903319,5,AIC,0,9,1,0
3dab4af3ca66af27f8e440cafd903319,5,SH,0,9,1,0
ed67faa94b9dc838b9db6adab8a84569,5,BIC,0,9,0,1
ed67faa94b9dc838b9db6adab8a84569,5,AIC,0,9,0,1
ed67faa94b9dc838b9db6adab8a84569,5,SH,0,9,0,1
caeb2b2396ba0981576eb93e6c0b606e,5,BIC,0,9,1,0
caeb2b2396ba0981576eb93e6c0b606e,5,AIC,1,2,0,7
caeb2b2396ba0981576eb93e6c0b606e,5,SH,0,9,1,0
f85a512e18ff1b17b380a969d8cfd9aa,5,BIC,5,0,2,3
f85a512e18ff1b17b380a969d8cfd9aa,5,AIC,5,0,2,3
f85a512e18ff1b17b380a969d8cfd9aa,5,SH,0,3,7,0
477c315ff4a4c1097bcf81a2efc65898,5,BIC,1,4,2,3
477c315ff4a4c1097bcf81a2efc65898,5,AIC,1,4,2,3
477c315ff4a4c1097bcf81a2efc65898,5,SH,0,7,3,0
0755d714617ae6e6f680d5b9fdf3e22d,5,BIC,1,3,0,6
0755d714617ae6e6f680d5b9fdf3e22d,5,AIC,1,3,0,6
0755d714617ae6e6f680d5b9fdf3e22d,5,SH,0,9,1,0
a0431e47728ebca7eccd3bf6c3d1ebca,10,BIC,0,35,9,1
a0431e47728ebca7eccd3bf6c3d1ebca,10,AIC,9,2,0,34
a0431e47728ebca7eccd3bf6c3d1ebca,10,SH,0,35,9,1
2d6eed553689e43605986aae6bb7134b,10,BIC,0,45,0,0
2d6eed553689e43605986aae6bb7134b,10,AIC,0,35,0,10
2d6eed553689e43605986aae6bb7134b,10,SH,0,40,0,5
4f2a1047cf508c05fd5128ac9a6b6ed3,10,BIC,1,38,2,4
4f2a1047cf508c05fd5128ac9a6b6ed3,10,AIC,3,2,0,40
4f2a1047cf508c05fd5128ac9a6b6ed3,10,SH,0,42,3,0
3eb196a8743c356c8787eecb10190aa5,10,BIC,0,45,0,0
3eb196a8743c356c8787eecb10190aa5,10,AIC,0,1,0,44
3eb196a8743c356c8787eecb10190aa5,10,SH,0,45,0,0
e1869d21fb025dd2ad7c22f12fd2b43b,10,BIC,0,45,0,0
e1869d21fb025dd2ad7c22f12fd2b43b,10,AIC,0,0,0,45
e1869d21fb025dd2ad7c22f12fd2b43b,10,SH,0,45,0,0
f7234b4ec2a16ac5031d6eaac48dfde1,10,BIC,2,36,4,3
f7234b4ec2a16ac5031d6eaac48dfde1,10,AIC,6,1,0,38
f7234b4ec2a16ac5031d6eaac48dfde1,10,SH,0,39,6,0
91b58ebfe43376cf200124c7ecf19a12,10,BIC,0,42,3,0
91b58ebfe43376cf200124c7ecf19a12,10,AIC,3,2,0,40
91b58ebfe43376cf200124c7ecf19a12,10,SH,0,42,3,0
483e70a7087ba02804d871ef7b165254,10,BIC,0,40,5,0
483e70a7087ba02804d871ef7b165254,10,AIC,5,4,0,36
483e70a7087ba02804d871ef7b165254,10,SH,0,40,5,0
a27779d4abb1d5412fe997496c23486a,10,BIC,0,45,0,0
a27779d4abb1d5412fe997496c23486a,10,AIC,0,40,0,5
a27779d4abb1d5412fe997496c23486a,10,SH,0,45,0,0
4be094430a90b2bf5bc9afbff6a53b85,10,BIC,0,39,6,0
4be094430a90b2bf5bc9afbff6a53b85,10,AIC,2,26,4,13
4be094430a90b2bf5bc9afbff6a53b85,10,SH,1,35,5,4
