identifier,dimension,path,TP,TN,FP,FN
d3c81b62771e31f4c2f880d6a56a1a68,5,linear,0,8,1,1
d3c81b62771e31f4c2f880d6a56a1a68,5,linear,0,6,1,3
d3c81b62771e31f4c2f880d6a56a1a68,5,linear,0,6,1,3
d3c81b62771e31f4c2f880d6a56a1a68,5,linear,0,3,1,6
d3c81b62771e31f4c2f880d6a56a1a68,5,linear,1,0,0,9
d3c81b62771e31f4c2f880d6a56a1a68,5,empirical,0,8,1,1
d3c81b62771e31f4c2f880d6a56a1a68,5,empirical,0,7,1,2
d3c81b62771e31f4c2f880d6a56a1a68,5,empirical,0,4,1,5
d3c81b62771e31f4c2f880d6a56a1a68,5,empirical,1,0,0,9
d3c81b62771e31f4c2f880d6a56a1a68,5,empirical,1,0,0,9
8969a7a06a9cdbc8bcf66cd7d38c9d64,5,linear,1,7,2,0
8969a7a06a9cdbc8bcf66cd7d38c9d64,5,linear,1,7,2,0
8969a7a06a9cdbc8bcf66cd7d38c9d64,5,linear,1,6,2,1
8969a7a06a9cdbc8bcf66cd7d38c9d64,5,linear,2,3,1,4
8969a7a06a9cdbc8bcf66cd7d38c9d64,5,linear,2,1,1,6
8969a7a06a9cdbc8bcf66cd7d38c9d64,5,empirical,1,7,2,0
8969a7a06a9cdbc8bcf66cd7d38c9d64,5,empirical,1,5,2,2
8969a7a06a9cdbc8bcf66cd7d38c9d64,5,empirical,1,4,2,3
8969a7a06a9cdbc8bcf66cd7d38c9d64,5,empirical,2,2,1,5
8969a7a06a9cdbc8bcf66cd7d38c9d64,5,empirical,2,1,1,6
d71e7a2b0d79867360724d626c3a4d43,5,linear,0,7,3,0
d71e7a2b0d79867360724d626c3a4d43,5,linear,2,5,1,2
d71e7a2b0d79867360724d626c3a4d43,5,linear,3,5,0,2
d71e7a2b0d79867360724d626c3a4d43,5,linear,3,3,0,4
d71e7a2b0d79867360724d626c3a4d43,5,linear,3,3,0,4
d71e7a2b0d79867360724d626c3a4d43,5,empirical,0,7,3,0
d71e7a2b0d79867360724d626c3a4d43,5,empirical,1,6,2,1
d71e7a2b0d79867360724d626c3a4d43,5,empirical,3,5,0,2
d71e7a2b0d79867360724d626c3a4d43,5,empirical,3,3,0,4
d71e7a2b0d79867360724d626c3a4d43,5,empirical,3,3,0,4
f14097322f9ae5359ddbb0bc640407c2,5,linear,0,9,0,1
f14097322f9ae5359ddbb0bc640407c2,5,linear,0,8,0,2
f14097322f9ae5359ddbb0bc640407c2,5,linear,0,7,0,3
f14097322f9ae5359ddbb0bc640407c2,5,linear,0,5,0,5
f14097322f9ae5359ddbb0bc640407c2,5,linear,0,3,0,7
f14097322f9ae5359ddbb0bc640407c2,5,empirical,0,9,0,1
f14097322f9ae5359ddbb0bc640407c2,5,empirical,0,8,0,2
f14097322f9ae5359ddbb0bc640407c2,5,empirical,0,6,0,4
f14097322f9ae5359ddbb0bc640407c2,5,empirical,0,4,0,6
f14097322f9ae5359ddbb0bc640407c2,5,empirical,0,3,0,7
531ae6ad660bf9d8bb8197fcdbb0df76,5,linear,0,6,4,0
531ae6ad660bf9d8bb8197fcdbb0df76,5,linear,2,6,2,0
531ae6ad660bf9d8bb8197fcdbb0df76,5,linear,2,4,2,2
531ae6ad660bf9d8bb8197fcdbb0df76,5,linear,2,3,2,3
531ae6ad660bf9d8bb8197fcdbb0df76,5,linear,4,1,0,5
531ae6ad660bf9d8bb8197fcdbb0df76,5,empirical,0,6,4,0
531ae6ad660bf9d8bb8197fcdbb0df76,5,empirical,2,6,2,0
531ae6ad660bf9d8bb8197fcdbb0df76,5,empirical,2,3,2,3
531ae6ad660bf9d8bb8197fcdbb0df76,5,empirical,3,3,1,3
531ae6ad660bf9d8bb8197fcdbb0df76,5,empirical,4,1,0,5
c13b26f093a5b744ab33be538bfc5372,5,linear,0,9,1,0
c13b26f093a5b744ab33be538bfc5372,5,linear,0,8,1,1
c13b26f093a5b744ab33be538bfc5372,5,linear,0,8,1,1
c13b26f093a5b744ab33be538bfc5372,5,linear,0,5,1,4
c13b26f093a5b744ab33be538bfc5372,5,linear,1,0,0,9
c13b26f093a5b744ab33be538bfc5372,5,empirical,0,9,1,0
c13b26f093a5b744ab33be538bfc5372,5,empirical,0,7,1,2
c13b26f093a5b744ab33be538bfc5372,5,empirical,0,5,1,4
c13b26f093a5b744ab33be538bfc5372,5,empirical,0,3,1,6
c13b26f093a5b744ab33be538bfc5372,5,empirical,1,0,0,9
c33c22a45c3c4659c92069686c3f123d,5,linear,0,10,0,0
c33c22a45c3c4659c92069686c3f123d,5,linear,0,9,0,1
c33c22a45c3c4659c92069686c3f123d,5,linear,0,7,0,3
c33c22a45c3c4659c92069686c3f123d,5,linear,0,6,0,4
c33c22a45c3c4659c92069686c3f123d,5,linear,0,3,0,7
c33c22a45c3c4659c92069686c3f123d,5,empirical,0,10,0,0
c33c22a45c3c4659c92069686c3f123d,5,empirical,0,8,0,2
c33c22a45c3c4659c92069686c3f123d,5,empirical,0,6,0,4
c33c22a45c3c4659c92069686c3f123d,5,empirical,0,3,0,7
c33c22a45c3c4659c92069686c3f123d,5,empirical,0,3,0,7
2435286ece917820ff471a9c482d8c84,5,linear,0,9,1,0
2435286ece917820ff471a9c482d8c84,5,linear,1,9,0,0
2435286ece917820ff471a9c482d8c84,5,linear,1,9,0,0
2435286ece917820ff471a9c482d8c84,5,linear,1,8,0,1
2435286ece917820ff471a9c482d8c84,5,linear,1,4,0,5
2435286ece917820ff471a9c482d8c84,5,empirical,0,9,1,0
2435286ece917820ff471a9c482d8c84,5,empirical,1,8,0,1
2435286ece917820ff471a9c482d8c84,5,empirical,1,6,0,3
2435286ece917820ff471a9c482d8c84,5,empirical,1,5,0,4
2435286ece917820ff471a9c482d8c84,5,empirical,1,4,0,5
f5afd40424ffc4c8e5907177cab06989,5,linear,0,10,0,0
f5afd40424ffc4c8e5907177cab06989,5,linear,0,9,0,1
f5afd40424ffc4c8e5907177cab06989,5,linear,0,7,0,3
f5afd40424ffc4c8e5907177cab06989,5,linear,0,6,0,4
f5afd40424ffc4c8e5907177cab06989,5,linear,0,0,0,10
f5afd40424ffc4c8e5907177cab06989,5,empirical,0,10,0,0
f5afd40424ffc4c8e5907177cab06989,5,empirical,0,8,0,2
f5afd40424ffc4c8e5907177cab06989,5,empirical,0,6,0,4
f5afd40424ffc4c8e5907177cab06989,5,empirical,0,0,0,10
f5afd40424ffc4c8e5907177cab06989,5,empirical,0,0,0,10
3c527dbc35dd1f1b110d4e6a002d3aa9,5,linear,1,5,4,0
3c527dbc35dd1f1b110d4e6a002d3aa9,5,linear,1,5,4,0
3c527dbc35dd1f1b110d4e6a002d3aa9,5,linear,2,5,3,0
3c527dbc35dd1f1b110d4e6a002d3aa9,5,linear,2,5,3,0
